"probe_id","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","group"
"1634738_s_at","CG31751",-0.545091592030486,8.81452086312626,-9.16385020810267,1.07032611124792e-07,3.49136324619114e-06,7.64243620815281,"female"
"1634742_at","Sodh-2",-0.805086510990332,8.45670480867907,-12.4614746749029,1.49891834885728e-09,1.0000232716252e-07,12.0726687492422,"female"
"1634755_at","CG31053",0.424990862384177,5.02506225816819,5.62569710725993,4.07471220153866e-05,0.00045559849937204,1.48335608160621,"female"
"1634762_a_at","CG15096",-1.14475733579798,11.4893312822659,-15.80768224088,4.65754046643245e-11,5.34967920726229e-09,15.6500449590593,"female"
"1634767_at","CG6126",-0.497170345507828,10.1026026197275,-9.48504153624138,6.7391928111988e-08,2.39178243741273e-06,8.1232889450671,"female"
"1634777_at","CG13297",-0.451985654788245,3.60119051027493,-2.74519451784697,0.0145643911443803,0.0550720917177986,-4.4340421645246,"female"
"1634786_at",NA,-1.39751657725242,9.9189975173677,-12.3289823930756,1.74689749672038e-09,1.13770451401528e-07,11.9141898866029,"female"
"1634789_at","CG30151",-0.418468622285011,7.56561993933447,-4.53063881358292,0.000357171425557375,0.00269793258555734,-0.740109566547025,"female"
"1634795_a_at","Prosalpha7",0.407723387917595,11.286319447538,7.87410782521029,7.73878749263854e-07,1.78208384642145e-05,5.5865214679949,"female"
"1634815_at","CG31104",-0.956575538901273,10.0582387847818,-11.1000436622534,7.73458228580282e-09,3.92130540941735e-07,10.3719108467893,"female"
"1634834_at","CG4053",0.60142026838195,5.97335752771524,4.95782635437174,0.000150626385814251,0.00132713680332482,0.141058873618442,"female"
"1634836_a_at","CarT",0.449961595162035,5.43802917412128,4.47015554817213,0.00040420980673642,0.00299358509467317,-0.865946072393096,"female"
"1634848_at","SPE",-1.03067028243268,9.65935068200167,-15.3090711494808,7.48303540522898e-11,7.66586416215674e-09,15.1636184619517,"female"
"1634853_at","CG18011",0.481422667985121,5.48909653251129,5.13314231179862,0.000106302629566139,0.000995379167755665,0.498034303611029,"female"
"1634863_at","CG33107",0.419959233346561,7.18849860547269,6.72193343103564,5.41519163409096e-06,8.7269312797017e-05,3.56817342409088,"female"
"1634890_at","UK114",-0.487522862260265,11.4191364904845,-5.9139449062766,2.35914152786316e-05,0.000293294100967912,2.04663905884765,"female"
"1634892_at","CG15865",-0.74039851283729,5.7279173820368,-9.28325633905604,9.00013043322738e-08,3.02429914841357e-06,7.82258522433812,"female"
"1634903_at","CG9981",0.434432915816616,4.91885919136,3.57558345455381,0.00259300430147446,0.0136016101637265,-2.73918818433305,"female"
"1634935_a_at","CG1648",2.68590438145665,11.3282599039502,21.7581558636901,3.81300260615841e-13,9.63520338558856e-11,20.5195337235124,"female"
"1634939_at","CG13077",-0.471308389298554,7.80756930333748,-3.81631102589555,0.0015668008949149,0.0090337726073706,-2.23515983677337,"female"
"1634940_at","kraken",0.427747189660432,10.4140494439655,6.7990024425499,4.72802838087078e-06,7.80536532005776e-05,3.70874479427333,"female"
"1634942_at","CG5114",-0.440710967048645,8.67532357263837,-9.88750679030397,3.83432203181206e-08,1.48000144902041e-06,8.70938647837633,"female"
"1634943_at","RfC4",0.395779501915542,8.50202171318376,7.60163905568942,1.20672354258853e-06,2.52705243968374e-05,5.12518654210095,"female"
"1634958_at","Spn42Dc",-0.540410872565577,6.96679238171018,-5.03665591502492,0.000128721401129489,0.00116334191426136,0.301943597477556,"female"
"1634966_a_at","Ref1",0.382817454550725,8.12720907543044,4.91730742498482,0.000163343761548005,0.00141939063221356,0.058135114318369,"female"
"1634977_at","Tsp42Er",-0.623269792031808,9.11458494569091,-8.06118865926121,5.73573086970723e-07,1.40625577545526e-05,5.89767630318584,"female"
